movie_title,cast and crew,Genre,vote_average,vote_count,comb
george and the dragon,james purefoy piper perabo patrick swayze michael clarke duncan bill treacher tom reeve,adventure,5,13,james purefoy piper perabo patrick swayze michael clarke duncan bill treacher tom reeve adventure
apocalypse now,martin sheen marlon brando robert duvall frederic forrest sam bottoms francis ford coppola,drama war,8,2055,martin sheen marlon brando robert duvall frederic forrest sam bottoms francis ford coppola drama war
going the distance,drew barrymore justin long charlie day jason sudeikis christina applegate nanette burstein,comedy drama romance,6,262,drew barrymore justin long charlie day jason sudeikis christina applegate nanette burstein comedy drama romance
mr. holland's opus,richard dreyfuss glenne headly jay thomas olympia dukakis william h. macy stephen herek,music drama family,6.9,113,richard dreyfuss glenne headly jay thomas olympia dukakis william h. macy stephen herek music drama family
criminal,kevin costner gary oldman tommy lee jones ryan reynolds jordi moll\u00e0 ariel vromen,action,5.7,557,kevin costner gary oldman tommy lee jones ryan reynolds jordi moll\u00e0 ariel vromen action
out of africa,meryl streep robert redford klaus maria brandauer michael kitchen malick bowens sydney pollack,drama,7,279,meryl streep robert redford klaus maria brandauer michael kitchen malick bowens sydney pollack drama
flight,denzel washington don cheadle bruce greenwood kelly reilly john goodman robert zemeckis,drama,6.5,2415,denzel washington don cheadle bruce greenwood kelly reilly john goodman robert zemeckis drama
moonraker,roger moore lois chiles michael lonsdale corinne cl\u00e9ry richard kiel lewis gilbert,action adventure thriller science fiction,5.9,541,roger moore lois chiles michael lonsdale corinne cl\u00e9ry richard kiel lewis gilbert action adventure thriller science fiction
the grand budapest hotel,ralph fiennes tony revolori f. murray abraham mathieu amalric adrien brody wes anderson,comedy drama,8,4519,ralph fiennes tony revolori f. murray abraham mathieu amalric adrien brody wes anderson comedy drama
hearts in atlantis,anthony hopkins anton yelchin hope davis mika boorem david morse scott hicks,drama mystery,6.4,131,anthony hopkins anton yelchin hope davis mika boorem david morse scott hicks drama mystery
arachnophobia,jeff daniels harley jane kozak garette ratliff henson marlene katz julian sands frank marshall,comedy horror,6.2,433,jeff daniels harley jane kozak garette ratliff henson marlene katz julian sands frank marshall comedy horror
frequency,dennis quaid jim caviezel andre braugher elizabeth mitchell noah emmerich gregory hoblit,crime drama science fiction thriller,7,462,dennis quaid jim caviezel andre braugher elizabeth mitchell noah emmerich gregory hoblit crime drama science fiction thriller
vacation,ed helms christina applegate skyler gisondo steele stebbins chris hemsworth john francis daley,comedy,6.2,1195,ed helms christina applegate skyler gisondo steele stebbins chris hemsworth john francis daley comedy
get shorty,john travolta gene hackman rene russo danny devito dennis farina barry sonnenfeld,comedy thriller crime,6.4,302,john travolta gene hackman rene russo danny devito dennis farina barry sonnenfeld comedy thriller crime
chicago,catherine zeta-jones ren\u00e9e zellweger queen latifah richard gere christine baranski rob marshall,action comedy crime drama music,6.9,677,catherine zeta-jones ren\u00e9e zellweger queen latifah richard gere christine baranski rob marshall action comedy crime drama music
big daddy,adam sandler joey lauren adams kristy swanson cole sprouse jon stewart dennis dugan,comedy drama,6.1,875,adam sandler joey lauren adams kristy swanson cole sprouse jon stewart dennis dugan comedy drama
american pie 2,jason biggs thomas ian nicholas chris klein seann william scott eddie kaye thomas j.b. rogers,comedy romance,6,1344,jason biggs thomas ian nicholas chris klein seann william scott eddie kaye thomas j.b. rogers comedy romance
toy story,tom hanks tim allen don rickles jim varney wallace shawn john lasseter,animation comedy family,7.7,5269,tom hanks tim allen don rickles jim varney wallace shawn john lasseter animation comedy family
speed,keanu reeves dennis hopper sandra bullock joe morton jeff daniels jan de bont,action adventure crime,6.8,1783,keanu reeves dennis hopper sandra bullock joe morton jeff daniels jan de bont action adventure crime
the vow,rachel mcadams channing tatum sam neill scott speedman jessica lange michael sucsy,drama romance,7,1293,rachel mcadams channing tatum sam neill scott speedman jessica lange michael sucsy drama romance
extraordinary measures,harrison ford brendan fraser keri russell courtney b. vance meredith droeger tom vaughan,drama,6,89,harrison ford brendan fraser keri russell courtney b. vance meredith droeger tom vaughan drama
remember the titans,denzel washington will patton ryan hurst wood harris hayden panettiere boaz yakin,drama,7.4,821,denzel washington will patton ryan hurst wood harris hayden panettiere boaz yakin drama
the hunt for red october,alec baldwin sean connery scott glenn sam neill james earl jones john mctiernan,action adventure thriller,7.2,957,alec baldwin sean connery scott glenn sam neill james earl jones john mctiernan action adventure thriller
the butler,forest whitaker david banner michael rainey jr. lajessie smith mariah carey lee daniels,drama,7.2,1101,forest whitaker david banner michael rainey jr. lajessie smith mariah carey lee daniels drama
dodgeball: a true underdog story,vince vaughn christine taylor ben stiller rip torn justin long rawson marshall thurber,comedy,6.2,981,vince vaughn christine taylor ben stiller rip torn justin long rawson marshall thurber comedy
the addams family,ra\u00fal juli\u00e1 anjelica huston christopher lloyd christina ricci carel struycken barry sonnenfeld,horror comedy fantasy,6.7,848,ra\u00fal juli\u00e1 anjelica huston christopher lloyd christina ricci carel struycken barry sonnenfeld horror comedy fantasy
ace ventura: when nature calls,jim carrey ian mcneice simon callow maynard eziashi bob gunton steve oedekerk,crime comedy adventure,6.1,1099,jim carrey ian mcneice simon callow maynard eziashi bob gunton steve oedekerk crime comedy adventure
the princess diaries,anne hathaway julie andrews heather matarazzo robert schwartzman h\u00e9ctor elizondo garry marshall,comedy family romance,6.5,1023,anne hathaway julie andrews heather matarazzo robert schwartzman h\u00e9ctor elizondo garry marshall comedy family romance
the first wives club,goldie hawn bette midler diane keaton maggie smith dan hedaya hugh wilson,comedy,6.5,166,goldie hawn bette midler diane keaton maggie smith dan hedaya hugh wilson comedy
se7en,brad pitt morgan freeman gwyneth paltrow john c. mcginley kevin spacey david fincher,crime mystery thriller,8.1,5765,brad pitt morgan freeman gwyneth paltrow john c. mcginley kevin spacey david fincher crime mystery thriller
district 9,sharlto copley jason cope nathalie boltt sylvaine strike elizabeth mkandawie neill blomkamp,science fiction,7.3,3382,sharlto copley jason cope nathalie boltt sylvaine strike elizabeth mkandawie neill blomkamp science fiction
the spongebob squarepants movie,tom kenny clancy brown rodger bumpass bill fagerbakke carolyn lawrence stephen hillenburg,animation comedy family,6.7,574,tom kenny clancy brown rodger bumpass bill fagerbakke carolyn lawrence stephen hillenburg animation comedy family
mystic river,sean penn tim robbins kevin bacon laurence fishburne marcia gay harden clint eastwood,thriller crime drama mystery,7.6,1422,sean penn tim robbins kevin bacon laurence fishburne marcia gay harden clint eastwood thriller crime drama mystery
million dollar baby,clint eastwood hilary swank morgan freeman jay baruchel mike colter clint eastwood,drama,7.7,2439,clint eastwood hilary swank morgan freeman jay baruchel mike colter clint eastwood drama
analyze this,robert de niro billy crystal lisa kudrow chazz palminteri joe viterelli harold ramis,comedy crime,6.4,503,robert de niro billy crystal lisa kudrow chazz palminteri joe viterelli harold ramis comedy crime
the notebook,rachel mcadams ryan gosling gena rowlands james garner sam shepard nick cassavetes,romance drama,7.7,3067,rachel mcadams ryan gosling gena rowlands james garner sam shepard nick cassavetes romance drama
27 dresses,katherine heigl james marsden malin \u00c5kerman judy greer edward burns anne fletcher,comedy romance,6.1,978,katherine heigl james marsden malin \u00c5kerman judy greer edward burns anne fletcher comedy romance
hannah montana: the movie,miley cyrus billy ray cyrus emily osment jason earles taylor swift peter chelsom,comedy drama family music romance,6,449,miley cyrus billy ray cyrus emily osment jason earles taylor swift peter chelsom comedy drama family music romance
rugrats in paris: the movie,e.g. daily susan sarandon john lithgow tara strong cheryl chase stig bergqvist,adventure animation comedy family,6,100,e.g. daily susan sarandon john lithgow tara strong cheryl chase stig bergqvist adventure animation comedy family
the prince of tides,nick nolte barbra streisand blythe danner kate nelligan jeroen krabb\u00e9 barbra streisand,drama romance,5.9,56,nick nolte barbra streisand blythe danner kate nelligan jeroen krabb\u00e9 barbra streisand drama romance
legends of the fall,brad pitt anthony hopkins aidan quinn julia ormond henry thomas edward zwick,adventure drama romance war,7.2,619,brad pitt anthony hopkins aidan quinn julia ormond henry thomas edward zwick adventure drama romance war
up in the air,george clooney vera farmiga anna kendrick jason bateman melanie lynskey jason reitman,drama romance,6.7,1205,george clooney vera farmiga anna kendrick jason bateman melanie lynskey jason reitman drama romance
about schmidt,jack nicholson kathy bates hope davis dermot mulroney june squibb alexander payne,drama comedy,6.7,362,jack nicholson kathy bates hope davis dermot mulroney june squibb alexander payne drama comedy
warm bodies,nicholas hoult teresa palmer analeigh tipton rob corddry dave franco jonathan levine,horror comedy romance,6.4,2652,nicholas hoult teresa palmer analeigh tipton rob corddry dave franco jonathan levine horror comedy romance
looper,joseph gordon-levitt bruce willis emily blunt paul dano noah segan rian johnson,action thriller science fiction,6.6,4697,joseph gordon-levitt bruce willis emily blunt paul dano noah segan rian johnson action thriller science fiction
down to earth,chris rock regina king chazz palminteri eugene levy frankie faison chris weitz,fantasy comedy science fiction romance,4.9,95,chris rock regina king chazz palminteri eugene levy frankie faison chris weitz fantasy comedy science fiction romance
babe,christine cavanaugh miriam margolyes danny mann hugo weaving miriam flynn chris noonan,fantasy drama comedy family,6,733,christine cavanaugh miriam margolyes danny mann hugo weaving miriam flynn chris noonan fantasy drama comedy family
hope springs,meryl streep steve carell tommy lee jones jean smart marin ireland david frankel,drama comedy romance,5.8,284,meryl streep steve carell tommy lee jones jean smart marin ireland david frankel drama comedy romance
forgetting sarah marshall,jason segel kristen bell mila kunis russell brand bill hader nicholas stoller,comedy romance drama,6.4,1172,jason segel kristen bell mila kunis russell brand bill hader nicholas stoller comedy romance drama
four brothers,mark wahlberg tyrese gibson andr\u00e9 benjamin garrett hedlund terrence howard john singleton,action crime,6.7,607,mark wahlberg tyrese gibson andr\u00e9 benjamin garrett hedlund terrence howard john singleton action crime
baby mama,tina fey amy poehler dax shepard sigourney weaver greg kinnear michael mccullers,comedy,5.8,205,tina fey amy poehler dax shepard sigourney weaver greg kinnear michael mccullers comedy
hope floats,sandra bullock harry connick jr. gena rowlands mae whitman michael par\u00e9 forest whitaker,drama romance,5.8,81,sandra bullock harry connick jr. gena rowlands mae whitman michael par\u00e9 forest whitaker drama romance
bride wars,anne hathaway kate hudson bryan greenberg chris pratt steve howey gary winick,comedy,5.9,856,anne hathaway kate hudson bryan greenberg chris pratt steve howey gary winick comedy
without a paddle,seth green matthew lillard dax shepard antony starr andrew hampton steven brill,action adventure comedy thriller,5.3,214,seth green matthew lillard dax shepard antony starr andrew hampton steven brill action adventure comedy thriller
13 going on 30,jennifer garner mark ruffalo judy greer andy serkis kathy baker gary winick,comedy fantasy romance,6.3,1204,jennifer garner mark ruffalo judy greer andy serkis kathy baker gary winick comedy fantasy romance
midnight in paris,owen wilson rachel mcadams kurt fuller mimi kennedy michael sheen woody allen,fantasy comedy romance,7.4,1990,owen wilson rachel mcadams kurt fuller mimi kennedy michael sheen woody allen fantasy comedy romance
the nut job,will arnett katherine heigl brendan fraser liam neeson stephen lang peter lepeniotis,animation comedy family adventure,5.5,319,will arnett katherine heigl brendan fraser liam neeson stephen lang peter lepeniotis animation comedy family adventure
blow,johnny depp pen\u00e9lope cruz ethan suplee ray liotta franka potente ted demme,crime drama,7.4,1317,johnny depp pen\u00e9lope cruz ethan suplee ray liotta franka potente ted demme crime drama
message in a bottle,kevin costner robin wright paul newman john savage illeana douglas luis mandoki,romance drama,5.8,196,kevin costner robin wright paul newman john savage illeana douglas luis mandoki romance drama
star trek v: the final frontier,william shatner leonard nimoy deforest kelley james doohan george takei william shatner,science fiction action adventure thriller,5.6,376,william shatner leonard nimoy deforest kelley james doohan george takei william shatner science fiction action adventure thriller
like mike,shad moss morris chestnut jonathan lipnicki brenda song jesse plemons john schultz,comedy drama family fantasy,5.7,100,shad moss morris chestnut jonathan lipnicki brenda song jesse plemons john schultz comedy drama family fantasy
the naked gun 33⅓: the final insult,leslie nielsen priscilla presley george kennedy o.j. simpson fred ward peter segal,comedy crime,6.3,521,leslie nielsen priscilla presley george kennedy o.j. simpson fred ward peter segal comedy crime
a view to a kill,roger moore christopher walken tanya roberts grace jones patrick macnee john glen,adventure action thriller,6,506,roger moore christopher walken tanya roberts grace jones patrick macnee john glen adventure action thriller
the curse of the were-rabbit,peter sallis helena bonham carter ralph fiennes nicholas smith liz smith nick park,adventure animation comedy family,6.8,643,peter sallis helena bonham carter ralph fiennes nicholas smith liz smith nick park adventure animation comedy family
p.s. i love you,hilary swank gerard butler lisa kudrow harry connick jr. gina gershon richard lagravenese,drama romance,6.9,977,hilary swank gerard butler lisa kudrow harry connick jr. gina gershon richard lagravenese drama romance
racing stripes,frankie muniz mandy moore hayden panettiere bruce greenwood wendie malick frederik du chau,comedy,5.1,123,frankie muniz mandy moore hayden panettiere bruce greenwood wendie malick frederik du chau comedy
atonement,keira knightley james mcavoy romola garai saoirse ronan brenda blethyn joe wright,drama romance,7.4,1049,keira knightley james mcavoy romola garai saoirse ronan brenda blethyn joe wright drama romance
letters to juliet,amanda seyfried christopher egan gael garc\u00eda bernal vanessa redgrave franco nero gary winick,comedy drama romance,6.6,796,amanda seyfried christopher egan gael garc\u00eda bernal vanessa redgrave franco nero gary winick comedy drama romance
black rain,michael douglas andy garc\u00eda kate capshaw shigeru k\u00f4yama john spencer ridley scott,action thriller crime,6.2,243,michael douglas andy garc\u00eda kate capshaw shigeru k\u00f4yama john spencer ridley scott action thriller crime
the three stooges,sean hayes will sasso chris diamantopoulos jane lynch sof\u00eda vergara bobby farrelly,comedy,4.9,140,sean hayes will sasso chris diamantopoulos jane lynch sof\u00eda vergara bobby farrelly comedy
corpse bride,johnny depp helena bonham carter emily watson tracey ullman paul whitehouse tim burton,romance fantasy animation music,7.2,1894,johnny depp helena bonham carter emily watson tracey ullman paul whitehouse tim burton romance fantasy animation music
glory road,josh lucas derek luke jon voight austin nichols evan jones james gartner,drama,7.2,144,josh lucas derek luke jon voight austin nichols evan jones james gartner drama
sicario,emily blunt benicio del toro josh brolin victor garber jon bernthal denis villeneuve,action crime drama mystery thriller,7.2,2416,emily blunt benicio del toro josh brolin victor garber jon bernthal denis villeneuve action crime drama mystery thriller
southpaw,jake gyllenhaal rachel mcadams forest whitaker oona laurence 50 cent antoine fuqua,action drama,7.3,2067,jake gyllenhaal rachel mcadams forest whitaker oona laurence 50 cent antoine fuqua action drama
drag me to hell,alison lohman justin long lorna raver dileep rao david paymer sam raimi,horror thriller,6.2,966,alison lohman justin long lorna raver dileep rao david paymer sam raimi horror thriller
the age of adaline,blake lively michiel huisman harrison ford ellen burstyn kathy baker lee toland krieger,fantasy drama romance,7.4,1990,blake lively michiel huisman harrison ford ellen burstyn kathy baker lee toland krieger fantasy drama romance
secondhand lions,michael caine robert duvall haley joel osment josh lucas kyra sedgwick tim mccanlies,comedy drama family,6.9,260,michael caine robert duvall haley joel osment josh lucas kyra sedgwick tim mccanlies comedy drama family
step up 3d,rick malambri adam g. sevani joe slaughter sharni vinson alyson stoner jon m. chu,drama romance,6.6,582,rick malambri adam g. sevani joe slaughter sharni vinson alyson stoner jon m. chu drama romance
blue crush,kate bosworth matthew davis michelle rodriguez sanoe lake mika boorem john stockwell,adventure,5.6,159,kate bosworth matthew davis michelle rodriguez sanoe lake mika boorem john stockwell adventure
stranger than fiction,will ferrell maggie gyllenhaal dustin hoffman emma thompson queen latifah marc forster,comedy drama fantasy romance,7.1,721,will ferrell maggie gyllenhaal dustin hoffman emma thompson queen latifah marc forster comedy drama fantasy romance
30 days of night,josh hartnett melissa george ben foster danny huston mark boone junior david slade,horror thriller,6.2,767,josh hartnett melissa george ben foster danny huston mark boone junior david slade horror thriller
the cabin in the woods,kristen connolly chris hemsworth anna hutchison fran kranz jesse williams drew goddard,horror thriller,6.5,2263,kristen connolly chris hemsworth anna hutchison fran kranz jesse williams drew goddard horror thriller
meet the spartans,sean maguire carmen electra ken davitian kevin sorbo diedrich bader jason friedberg,comedy,3.7,359,sean maguire carmen electra ken davitian kevin sorbo diedrich bader jason friedberg comedy
midnight run,robert de niro charles grodin yaphet kotto john ashton dennis farina martin brest,adventure comedy crime,7.2,238,robert de niro charles grodin yaphet kotto john ashton dennis farina martin brest adventure comedy crime
the running man,arnold schwarzenegger richard dawson mar\u00eda conchita alonso yaphet kotto jim brown paul michael glaser,action science fiction,6.4,703,arnold schwarzenegger richard dawson mar\u00eda conchita alonso yaphet kotto jim brown paul michael glaser action science fiction
little shop of horrors,rick moranis ellen greene vincent gardenia steve martin tisha campbell-martin frank oz,horror comedy music,6.6,384,rick moranis ellen greene vincent gardenia steve martin tisha campbell-martin frank oz horror comedy music
hanna,saoirse ronan eric bana vicky krieps cate blanchett tom hollander joe wright,action thriller adventure,6.5,1263,saoirse ronan eric bana vicky krieps cate blanchett tom hollander joe wright action thriller adventure
mortal kombat: annihilation,robin shou talisa soto james remar sandra hess lynn 'red' williams john r. leonetti,action fantasy science fiction,3.8,221,robin shou talisa soto james remar sandra hess lynn 'red' williams john r. leonetti action fantasy science fiction
larry crowne,tom hanks julia roberts bryan cranston cedric the entertainer pam grier tom hanks,comedy romance drama,5.7,359,tom hanks julia roberts bryan cranston cedric the entertainer pam grier tom hanks comedy romance drama
carrie,chlo\u00eb grace moretz julianne moore judy greer alex russell portia doubleday kimberly peirce,drama horror,5.8,1463,chlo\u00eb grace moretz julianne moore judy greer alex russell portia doubleday kimberly peirce drama horror
take the lead,antonio banderas rob brown yaya dacosta alfre woodard john ortiz liz friedlander,music,6.6,162,antonio banderas rob brown yaya dacosta alfre woodard john ortiz liz friedlander music
gridiron gang,dwayne johnson xzibit l. scott caldwell leon rippy kevin dunn phil joanou,action adventure crime drama,6.5,206,dwayne johnson xzibit l. scott caldwell leon rippy kevin dunn phil joanou action adventure crime drama
what's the worst that could happen?,martin lawrence danny devito john leguizamo glenne headly carmen ejogo sam weisman,action comedy,5.1,66,martin lawrence danny devito john leguizamo glenne headly carmen ejogo sam weisman action comedy
9,christopher plummer martin landau john c. reilly crispin glover jennifer connelly shane acker,action adventure animation science fiction thriller,6.6,1262,christopher plummer martin landau john c. reilly crispin glover jennifer connelly shane acker action adventure animation science fiction thriller
side effects,jude law rooney mara catherine zeta-jones channing tatum vinessa shaw steven soderbergh,thriller crime drama,6.4,1323,jude law rooney mara catherine zeta-jones channing tatum vinessa shaw steven soderbergh thriller crime drama
the prince & me,julia stiles luke mably ben miller miranda richardson james fox martha coolidge,comedy romance,5.9,278,julia stiles luke mably ben miller miranda richardson james fox martha coolidge comedy romance
winnie the pooh,jim cummings travis oates bud luckey craig ferguson tom kenny stephen anderson,animation family,6.8,258,jim cummings travis oates bud luckey craig ferguson tom kenny stephen anderson animation family
dumb and dumberer: when harry met lloyd,mimi rogers eric christian olsen luis guzm\u00e1n rachel nichols eugene levy troy miller,comedy,4.1,210,mimi rogers eric christian olsen luis guzm\u00e1n rachel nichols eugene levy troy miller comedy
bulworth,warren beatty halle berry sean astin christine baranski adilah barnes warren beatty,comedy drama,6.3,66,warren beatty halle berry sean astin christine baranski adilah barnes warren beatty comedy drama
get on up,chadwick boseman nelsan ellis dan aykroyd viola davis lennie james tate taylor,drama music,6.4,158,chadwick boseman nelsan ellis dan aykroyd viola davis lennie james tate taylor drama music
one true thing,meryl streep ren\u00e9e zellweger william hurt tom everett scott lauren graham carl franklin,drama romance,6.2,27,meryl streep ren\u00e9e zellweger william hurt tom everett scott lauren graham carl franklin drama romance
virtuosity,denzel washington russell crowe kelly lynch william forsythe stephen spinella brett leonard,action crime science fiction thriller,5.4,163,denzel washington russell crowe kelly lynch william forsythe stephen spinella brett leonard action crime science fiction thriller
my super ex-girlfriend,uma thurman luke wilson anna faris eddie izzard rainn wilson ivan reitman,fantasy drama action comedy crime,4.8,442,uma thurman luke wilson anna faris eddie izzard rainn wilson ivan reitman fantasy drama action comedy crime
deliver us from evil,eric bana edgar ram\u00edrez olivia munn joel mchale sean harris scott derrickson,thriller crime horror,5.9,690,eric bana edgar ram\u00edrez olivia munn joel mchale sean harris scott derrickson thriller crime horror
sanctum,ioan gruffudd richard roxburgh alice parkinson daniel wyllie allison cratchley alister grierson,action thriller,5.8,339,ioan gruffudd richard roxburgh alice parkinson daniel wyllie allison cratchley alister grierson action thriller
little black book,brittany murphy holly hunter kathy bates ron livingston kevin sussman nick hurran,comedy romance drama,5.2,112,brittany murphy holly hunter kathy bates ron livingston kevin sussman nick hurran comedy romance drama
the five-year engagement,jason segel emily blunt chris pratt alison brie rhys ifans nicholas stoller,comedy,5.7,457,jason segel emily blunt chris pratt alison brie rhys ifans nicholas stoller comedy
mr. 3000,bernie mac angela bassett michael rispoli brian j. white dondre whitfield charles stone iii,comedy drama,5,66,bernie mac angela bassett michael rispoli brian j. white dondre whitfield charles stone iii comedy drama
the next three days,russell crowe elizabeth banks brian dennehy rza moran atias paul haggis,romance drama thriller crime,6.9,905,russell crowe elizabeth banks brian dennehy rza moran atias paul haggis romance drama thriller crime
ultraviolet,milla jovovich cameron bright nick chinlund sebastien andrieu ida martin kurt wimmer,science fiction action thriller,4.8,458,milla jovovich cameron bright nick chinlund sebastien andrieu ida martin kurt wimmer science fiction action thriller
assault on precinct 13,ethan hawke laurence fishburne gabriel byrne maria bello drea de matteo jean-fran\u00e7ois richet,thriller,6,311,ethan hawke laurence fishburne gabriel byrne maria bello drea de matteo jean-fran\u00e7ois richet thriller
the replacement killers,chow yun-fat mira sorvino michael rooker kenneth tsang j\u00fcrgen prochnow antoine fuqua,action drama crime thriller,6,127,chow yun-fat mira sorvino michael rooker kenneth tsang j\u00fcrgen prochnow antoine fuqua action drama crime thriller
fled,laurence fishburne stephen baldwin salma hayek will patton robert john burke kevin hooks,action comedy thriller,5.2,47,laurence fishburne stephen baldwin salma hayek will patton robert john burke kevin hooks action comedy thriller
eight legged freaks,david arquette kari wuhrer scott terra scarlett johansson doug e. doug ellory elkayem,action comedy horror thriller,5.4,295,david arquette kari wuhrer scott terra scarlett johansson doug e. doug ellory elkayem action comedy horror thriller
love & other drugs,jake gyllenhaal anne hathaway oliver platt hank azaria gabriel macht edward zwick,drama comedy romance,6.6,1233,jake gyllenhaal anne hathaway oliver platt hank azaria gabriel macht edward zwick drama comedy romance
88 minutes,al pacino alicia witt leelee sobieski amy brenneman william forsythe jon avnet,crime mystery thriller,5.7,313,al pacino alicia witt leelee sobieski amy brenneman william forsythe jon avnet crime mystery thriller
north country,charlize theron elle peterson thomas curtis frances mcdormand sean bean niki caro,drama,6.8,125,charlize theron elle peterson thomas curtis frances mcdormand sean bean niki caro drama
the whole ten yards,bruce willis matthew perry amanda peet kevin pollak frank collison howard deutch,comedy thriller crime,5.5,278,bruce willis matthew perry amanda peet kevin pollak frank collison howard deutch comedy thriller crime
splice,adrien brody sarah polley delphine chan\u00e9ac david hewlett abigail chu vincenzo natali,horror thriller science fiction,5.5,671,adrien brody sarah polley delphine chan\u00e9ac david hewlett abigail chu vincenzo natali horror thriller science fiction
howard the duck,lea thompson jeffrey jones tim robbins ed gale holly robinson peete willard huyck,comedy fantasy science fiction,5.1,221,lea thompson jeffrey jones tim robbins ed gale holly robinson peete willard huyck comedy fantasy science fiction
pride and glory,edward norton jon voight colin farrell noah emmerich jennifer ehle gavin o'connor,thriller crime drama,6.3,240,edward norton jon voight colin farrell noah emmerich jennifer ehle gavin o'connor thriller crime drama
the cave,cole hauser eddie cibrian morris chestnut lena headey piper perabo bruce hunt,action adventure horror thriller,5.1,202,cole hauser eddie cibrian morris chestnut lena headey piper perabo bruce hunt action adventure horror thriller
alex & emma,luke wilson kate hudson sophie marceau david paymer paul wilson rob reiner,comedy romance,5,68,luke wilson kate hudson sophie marceau david paymer paul wilson rob reiner comedy romance
wicker park,josh hartnett rose byrne matthew lillard diane kruger christopher cousins paul mcguigan,drama mystery romance thriller,6.7,157,josh hartnett rose byrne matthew lillard diane kruger christopher cousins paul mcguigan drama mystery romance thriller
fright night,anton yelchin colin farrell toni collette christopher mintz-plasse david tennant craig gillespie,horror comedy,6,603,anton yelchin colin farrell toni collette christopher mintz-plasse david tennant craig gillespie horror comedy
the new world,colin farrell q'orianka kilcher christopher plummer christian bale august schellenberg terrence malick,drama history romance,6.4,330,colin farrell q'orianka kilcher christopher plummer christian bale august schellenberg terrence malick drama history romance
wing commander,freddie prinze jr. saffron burrows matthew lillard tch\u00e9ky karyo j\u00fcrgen prochnow christopher roberts,action science fiction,4,72,freddie prinze jr. saffron burrows matthew lillard tch\u00e9ky karyo j\u00fcrgen prochnow christopher roberts action science fiction
in dreams,annette bening aidan quinn stephen rea robert downey jr. paul guilfoyle neil jordan,drama thriller,5.4,44,annette bening aidan quinn stephen rea robert downey jr. paul guilfoyle neil jordan drama thriller
dragonball evolution,chow yun-fat justin chatwin joon park jamie chung emmy rossum james wong,action adventure fantasy science fiction thriller,2.9,462,chow yun-fat justin chatwin joon park jamie chung emmy rossum james wong action adventure fantasy science fiction thriller
the last stand,arnold schwarzenegger forest whitaker rodrigo santoro johnny knoxville jaimie alexander kim jee-woon,action crime thriller,5.7,1266,arnold schwarzenegger forest whitaker rodrigo santoro johnny knoxville jaimie alexander kim jee-woon action crime thriller
godsend,greg kinnear rebecca romijn robert de niro cameron bright zoie palmer nick hamm,drama horror science fiction thriller,4.7,114,greg kinnear rebecca romijn robert de niro cameron bright zoie palmer nick hamm drama horror science fiction thriller
chasing liberty,mandy moore stark sands tony jayawardena jeremy piven annabella sciorra andy cadiff,comedy romance,6.1,152,mandy moore stark sands tony jayawardena jeremy piven annabella sciorra andy cadiff comedy romance
hoodwinked too! hood vs. evil,hayden panettiere bill hader joan cusack patrick warburton glenn close mike disa,comedy animation family,4.8,131,hayden panettiere bill hader joan cusack patrick warburton glenn close mike disa comedy animation family
an unfinished life,robert redford jennifer lopez morgan freeman becca gardner josh lucas lasse hallstr\u00f6m,drama,6.7,161,robert redford jennifer lopez morgan freeman becca gardner josh lucas lasse hallstr\u00f6m drama
the imaginarium of doctor parnassus,christopher plummer heath ledger johnny depp jude law colin farrell terry gilliam,adventure fantasy mystery,6.3,869,christopher plummer heath ledger johnny depp jude law colin farrell terry gilliam adventure fantasy mystery
barney's version,paul giamatti dustin hoffman rosamund pike minnie driver rachelle lefevre richard j. lewis,comedy drama,7.2,129,paul giamatti dustin hoffman rosamund pike minnie driver rachelle lefevre richard j. lewis comedy drama
runner runner,ben affleck gemma arterton justin timberlake anthony mackie david costabile brad furman,crime thriller drama,5.5,543,ben affleck gemma arterton justin timberlake anthony mackie david costabile brad furman crime thriller drama
antitrust,ryan phillippe rachael leigh cook tim robbins claire forlani richard roundtree peter howitt,action crime drama,5.8,153,ryan phillippe rachael leigh cook tim robbins claire forlani richard roundtree peter howitt action crime drama
glory,matthew broderick denzel washington cary elwes morgan freeman jihmi kennedy edward zwick,war,7.4,383,matthew broderick denzel washington cary elwes morgan freeman jihmi kennedy edward zwick war
once upon a time in america,robert de niro james woods elizabeth mcgovern joe pesci burt young sergio leone,drama crime,8.2,1069,robert de niro james woods elizabeth mcgovern joe pesci burt young sergio leone drama crime
dead man down,colin farrell noomi rapace terrence howard dominic cooper isabelle huppert niels arden oplev,thriller action crime drama,5.9,638,colin farrell noomi rapace terrence howard dominic cooper isabelle huppert niels arden oplev thriller action crime drama
the merchant of venice,al pacino jeremy irons joseph fiennes lynn collins zuleikha robinson michael radford,drama romance,6.7,144,al pacino jeremy irons joseph fiennes lynn collins zuleikha robinson michael radford drama romance
the good thief,nick nolte tch\u00e9ky karyo nutsa kukhianidze marc lavoine sa\u00efd taghmaoui neil jordan,crime drama thriller,6,31,nick nolte tch\u00e9ky karyo nutsa kukhianidze marc lavoine sa\u00efd taghmaoui neil jordan crime drama thriller
supercross,steve howey mike vogel cameron richardson sophia bush channing tatum steve boyum,action adventure drama romance,5.4,29,steve howey mike vogel cameron richardson sophia bush channing tatum steve boyum action adventure drama romance
